"","sort.n3gramstats..decreasing...T.","last"
"1",1559,"one of the"
"2",1411,"a lot of"
"3",1119,"thanks for the"
"4",873,"going to be"
"5",831,"to be a"
"6",731,"out of the"
"7",701,"i want to"
"8",668,"as well as"
"9",664,"it was a"
"10",663,"the end of"
"11",608,"some of the"
"12",602,"part of the"
"13",568,"be able to"
"14",537,"looking forward to"
"15",536,"the rest of"
"16",535,"i have a"
"17",527,"i have to"
"18",515,"is going to"
"19",483,"the first time"
"20",459,"the fact that"
"21",458,"thank you for"
"22",452,"a couple of"
"23",441,"cant wait to"
"24",434,"i love you"
"25",434,"i need to"
"26",433,"there is a"
"27",430,"this is a"
"28",426,"you want to"
"29",421,"end of the"
"30",417,"i dont know"
"31",417,"to go to"
"32",406,"im going to"
"33",405,"in the world"
"34",404,"you have to"
"35",402,"this is the"
"36",401,"it would be"
"37",396,"one of my"
"38",392,"for the follow"
"39",390,"at the end"
"40",386,"all of the"
"41",380,"for the first"
"42",380,"to have a"
"43",376,"most of the"
"44",365,"it is a"
"45",364,"according to the"
"46",355,"is one of"
"47",352,"there is no"
"48",350,"in front of"
"49",347,"in the first"
"50",342,"i had to"
"51",339,"back to the"
"52",335,"to be the"
"53",333,"of the day"
"54",325,"to make a"
"55",324,"i had a"
"56",323,"you have a"
"57",322,"rest of the"
"58",319,"i think i"
"59",316,"i wanted to"
"60",315,"of the year"
"61",315,"to see the"
"62",307,"when i was"
"63",305,"i have been"
"64",302,"as much as"
"65",302,"i dont think"
"66",301,"one of those"
"67",301,"the united states"
"68",298,"it will be"
"69",297,"was going to"
"70",296,"i feel like"
"71",296,"if you are"
"72",292,"are going to"
"73",290,"if you have"
"74",289,"to get a"
"75",288,"i will be"
"76",287,"have a great"
"77",286,"at the same"
"78",286,"in the past"
"79",285,"to see you"
"80",283,"we need to"
"81",282,"want to be"
"82",279,"i am not"
"83",278,"in order to"
"84",277,"let me know"
"85",275,"the same time"
"86",273,"at the time"
"87",271,"a bit of"
"88",267,"we have a"
"89",266,"have to be"
"90",264,"you need to"
"91",260,"if you want"
"92",258,"there was a"
"93",256,"i wish i"
"94",253,"not going to"
"95",253,"to make it"
"96",250,"it was the"
"97",249,"to do with"
"98",247,"all the time"
